Num Fea HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM
124 righthand 1 2 3 13 4 14 14 14 14 5 15 16 6 7 8 9 10 11 17 12 17 18 16 16 
125 right 1 2 3 4 5 6 17 7 8 18 9 18 10 11 12 13 14 15 18 18 18 9 16 18 
126 river 1 2 3 4 5 6 7 8 9 10 1 11 1 12 13 7 9 9 10 10 10 1 14 15 
128 root 1 2 3 4 5 6 7 8 9 10 11 10 12 13 14 15 9 9 10 10 10 10 16 17 
130 rotten 1 2 3 4 5 6 17 7 18 19 8 20 9 10 11 12 13 21 19 22 19 14 15 16 
131 round 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 9 18 10 10 11 19 20 
132 rub 1 2 3 4 5 6 7 8 8 9 10 11 12 13 14 15 16 17 18 18 9 19 20 21 
133 salt 1 2 2 3 11 4 5 2 6 12 13 2 7 8 11 9 2 2 12 12 12 13 10 2 
134 sand 1 2 2 3 4 5 6 7 8 2 9 10 11 12 4 13 14 8 15 2 2 16 17 18 
136 scratch 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 12 20 21 22 23 
138 see 1 2 3 4 5 6 7 8 9 10 11 8 12 13 5 7 8 14 10 10 10 15 16 8 
140 sew 1 2 3 4 5 6 7 6 6 6 8 6 9 10 11 12 13 6 6 18 14 15 16 17 
142 short 1 2 3 4 5 6 3 7 8 9 10 3 1 11 12 13 14 14 15 16 16 10 17 18 
143 sing 1 2 3 4 5 6 7 5 8 9 10 10 11 12 5 13 14 15 9 9 9 10 16 10 
149 smell 1 2 2 3 4 5 6 7 8 9 10 2 11 12 4 13 14 2 15 16 9 17 18 19 
150 smoke 1 2 3 4 5 17 6 17 17 7 9 17 10 11 12 13 17 17 14 7 7 8 15 16 
151 smooth 1 2 3 4 5 6 7 8 8 9 10 3 11 12 13 14 15 8 16 16 16 17 18 19 
154 some 1 14 2 3 4 15 5 16 17 18 6 19 7 8 4 15 9 10 18 18 18 11 12 13 
155 spit 1 2 3 4 5 6 3 3 3 3 7 3 8 9 10 11 12 3 3 3 3 13 14 15 
157 squeeze 1 2 3 4 5 3 6 7 8 9 10 11 12 13 14 15 16 17 9 9 18 10 19 20 
